,Date,Home/Away,Opp,Rate,Miles Traveled
0,2022-09-12,0,DEN,119.5,1019.4707222240758
1,2022-09-18,1,SFO,80.1,703.7177544488187
2,2022-09-25,0,ATL,99.1,2181.1504493546045
3,2022-10-02,1,DET,132.6,1938.1752038372538
4,2022-10-09,1,NOR,139.7,2100.308281173655
5,2022-10-16,0,ARI,82.3,1103.687938789693
6,2022-10-23,1,LAC,105.5,963.9963270942577
7,2022-10-30,0,NYG,104.0,2401.859694423666
8,2022-11-06,1,ARI,106.9,1103.687938789693
9,2022-11-13,1,TAM,115.1,5279.32846957397
10,2022-11-27,0,LVR,106.6,874.5670379980842
11,2022-12-04,1,LAR,116.1,963.9963270942577
12,2022-12-11,0,CAR,85.9,2285.0815549480913
13,2022-12-15,0,SFO,90.9,703.7177544488187
14,2022-12-24,1,KAN,74.5,1512.056347459
15,2023-01-01,0,NYJ,103.1,2401.859694423666
16,2023-01-08,0,LAR,65.7,963.9963270942577
