,Date,Home/Away,Opp,Rate,Miles Traveled
0,2022-09-11,1,WAS,75.0,650.9405983607052
1,2022-09-18,0,IND,121.5,699.0121938319809
2,2022-09-25,1,LAC,115.5,2154.725757830255
3,2022-10-02,1,PHI,84.3,754.5894175971268
4,2022-10-09,0,HOU,54.0,826.3963630655425
5,2022-10-16,1,IND,113.1,699.0121938319809
6,2022-10-23,0,NYG,74.8,838.5017544369132
7,2022-10-30,0,DEN,52.2,1470.2050256169186
8,2022-11-06,0,LVR,109.0,1973.4296335758227
9,2022-11-13,1,KAN,106.1,945.2610768630321
10,2022-11-27,0,BAL,129.8,679.6007729820122
11,2022-12-04,1,DET,82.6,832.2010177829535
12,2022-12-11,1,TEN,121.9,500.31397631397164
13,2022-12-18,0,DAL,109.0,926.3771133109569
14,2022-12-22,1,NYJ,86.6,838.5017544369132
15,2023-01-01,1,HOU,77.0,826.3963630655425
16,2023-01-07,0,TEN,92.2,500.31397631397164
